iter	Passed	Remaining
0	1	1217
1	1	762
2	1	624
3	2	547
4	2	490
5	2	459
6	3	436
7	3	414
8	3	398
9	3	384
10	4	372
11	4	362
12	4	355
13	4	346
14	5	339
15	5	338
16	5	336
17	6	332
18	6	328
19	6	324
20	6	323
21	7	321
22	7	319
23	7	317
24	8	317
25	8	316
26	8	314
27	8	312
28	9	309
29	9	309
30	9	307
31	10	306
32	10	305
33	10	303
34	11	305
35	11	303
36	11	303
37	11	302
38	12	301
39	12	302
40	12	302
41	13	301
42	13	300
43	13	299
44	14	297
45	14	298
46	14	297
47	14	295
48	15	294
49	15	293
50	15	292
51	15	291
52	16	290
53	16	289
54	16	289
55	17	288
56	17	288
57	17	287
58	17	286
59	18	286
60	18	285
61	18	284
62	19	283
63	19	282
64	19	281
65	19	280
66	20	280
67	20	279
68	20	278
69	21	285
70	21	284
71	22	283
72	22	282
73	22	282
74	22	281
75	23	280
76	23	279
77	23	279
78	23	278
79	24	277
80	24	276
81	24	275
82	24	272
83	24	272
84	25	271
85	25	270
86	25	270
87	26	269
88	26	268
89	26	268
90	26	267
91	27	267
92	27	266
93	27	267
94	28	267
95	28	266
96	28	265
97	28	265
98	29	265
99	29	264
100	29	263
101	29	263
102	30	262
103	30	261
104	30	260
105	30	259
106	31	261
107	31	261
108	32	261
109	32	260
110	32	260
111	32	260
112	33	260
113	33	260
114	33	260
115	34	260
116	34	259
117	34	259
118	34	258
119	35	257
120	35	257
121	35	256
122	35	255
123	36	255
124	36	255
125	36	255
126	36	254
127	37	253
128	37	253
129	37	253
130	38	252
131	38	251
132	38	251
133	38	251
134	39	250
135	39	250
136	39	250
137	40	250
138	40	249
139	40	249
140	40	248
141	40	247
142	41	247
143	41	246
144	41	246
145	42	246
146	42	245
147	42	245
148	42	244
149	43	244
150	43	244
151	43	245
152	44	244
153	44	245
154	44	244
155	45	244
156	45	244
157	45	244
158	46	244
159	46	243
160	46	242
161	46	241
162	47	241
163	47	241
164	47	240
165	47	240
